# fields=16 strings=0,5
"Northshire Abbey",0,3322602476,3205119345,1119668142,"Northshire Abbey",0,0,0,0,0,0,0,8323198,308,0
"orthshire Abbey",0,3322552893,1140119962,1121663058,"Stormwind, Elwynn",0,0,0,0,0,0,0,4128894,0,541
"rthshire Abbey",0,1182797727,1182749911,1116397896,"Programmer Isle",0,0,0,0,0,0,0,4128894,308,0
"thshire Abbey",0,3324384143,1149343171,1107836273,"Sentinel Hill, Westfall",0,0,0,0,0,0,0,4128894,0,541
"hshire Abbey",0,3323155558,3305862758,1116294349,"Lakeshire, Redridge",0,0,0,0,0,0,0,4128894,0,541
"shire Abbey",0,3314986557,3297799700,1140529889,"Ironforge, Dun Morogh",0,0,0,0,0,0,0,4128894,0,541
"hire Abbey",0,3312256041,3292779151,1091630531,"Menethil Harbor, Wetlands",0,0,0,0,0,0,0,4128894,0,541
"ire Abbey",0,3316215624,3308724265,1135452160,"Thelsamar, Loch Modan",0,0,0,0,0,0,0,4128894,0,541
"re Abbey",0,3328114452,1133899612,1106819154,"Booty Bay, Stranglethorn",0,0,0,0,0,0,0,8323198,541,0
"e Abbey",0,1139764756,1153438433,1124291052,"The Sepulcher, Silverpine Forest",0,0,0,0,0,0,0,4128894,3574,0
" Abbey",0,1153700823,1132854313,3257689702,"Undercity, Tirisfal",0,0,0,0,0,0,0,4128894,3574,0
"Abbey",0,3324267991,3298669773,1109744681,"Darkshire, Duskwood",0,0,0,0,0,0,0,4128894,0,541
"bbey",0,3178611343,3294034493,1114329580,"Tarren Mill, Hillsbrad",0,0,0,0,0,0,0,8323198,3574,0
"bey",0,3291602616,3288391352,1104208200,"Southshore, Hillsbrad",0,0,0,0,0,0,0,4128894,0,541
"ey",0,1158469222,3316057907,1118225039,"Eastern Plaguelands",0,0,0,0,0,0,0,8323198,541,0
"y",0,3298496758,3307024835,1102137262,"Refuge Pointe, Arathi",0,0,0,0,0,0,0,4128894,0,541
"",0,3294958223,3311046205,1116530278,"Hammerfall, Arathi",0,0,0,0,0,0,0,4128894,2224,0
"Stormwind, Elwynn",0,3328291113,1140772700,1104255386,"Booty Bay, Stranglethorn",0,0,0,0,0,0,0,4128894,2224,0
"tormwind, Elwynn",0,3328320563,1139282739,1108457554,"Booty Bay, Stranglethorn",0,0,0,0,0,0,0,4128894,0,541
"ormwind, Elwynn",0,3326212280,1125272125,1079110533,"Grom'gol, Stranglethorn",0,0,0,0,0,0,0,4128894,2224,0
"rmwind, Elwynn",0,3318697964,3305652429,1131684823,"Kargath, Badlands",0,0,0,0,0,0,0,4128894,2224,0
"mwind, Elwynn",1,3298141880,1106095636,1127281459,"Thunder Bluff, Mulgore",0,0,0,0,0,0,0,4128894,2224,0
"wind, Elwynn",1,1154593505,3313950126,1114942996,"Orgrimmar, Durotar",0,0,0,0,0,0,0,4128894,2224,0
"ind, Elwynn",0,3318763520,3305825485,1133202637,"Generic, World target for Zeppelin Paths",0,0,0,0,0,0,0,4128894,0,0
"nd, Elwynn",1,3286034022,3307356488,1119887032,"Crossroads, The Barrens",0,0,0,0,0,0,0,4128894,2224,0
"d, Elwynn",1,1170615050,1141599109,1099059692,"Auberdine, Darkshore",0,0,0,0,0,0,0,4128894,0,3837
", Elwynn",1,1174867548,1146241843,1102734950,"Rut'theran Village, Teldrassil",0,0,0,0,0,0,0,4128894,0,3837
" Elwynn",1,1160820081,3281034936,1121341932,"Astranaar, Ashenvale",0,0,0,0,0,0,0,4128894,0,3837
"Elwynn",1,1148298363,1149372989,1120963133,"Sun Rock Retreat, Stonetalon Mountains",0,0,0,0,0,0,0,4128894,2224,0
"lwynn",1,3316186542,3306611917,1119134679,"Freewind Post, Thousand Needles",0,0,0,0,0,0,0,4128894,2224,0
"wynn",1,3314310922,3292657910,3256751227,"Thalanaar, Feralas",0,0,0,0,0,0,0,4128894,0,3837
"ynn",1,3312391660,3314361508,1093077565,"Theramore, Dustwallow Marsh",0,0,0,0,0,0,0,4128894,0,541
"nn",1,1160221204,1152824771,1130946888,"Stonetalon Peak, Stonetalon Mountains",0,0,0,0,0,0,0,4128894,0,3837
"n",1,3304433009,3317039698,3213340180,"Transport, Booty Bay - Ratchet",0,0,0,0,0,0,0,4128894,0,0
"",1,1151664701,3314633114,1101827932,"Transport, Orgrimmar Zepplins",0,0,0,0,0,0,0,4128894,0,0
"Programmer Isle",0,3322352251,1138271191,1114494730,"Generic, World target",0,0,0,0,0,0,0,4128894,15665,0
"rogrammer Isle",1,1124810097,1151711805,1128366080,"Nijel's Point, Desolace",0,0,0,0,0,0,0,4128894,0,3837
"ogrammer Isle",1,3302814843,1162608189,1084101755,"Shadowprey Village, Desolace",0,0,0,0,0,0,0,4128894,2224,0
"grammer Isle",1,3319906243,3312019825,1090927985,"Gadgetzan, Tanaris",0,0,0,0,0,0,0,4128894,0,541
"rammer Isle",1,3319547679,3312207299,1092815421,"Gadgetzan, Tanaris",0,0,0,0,0,0,0,4128894,2224,0
"ammer Isle",1,3314069094,1162914406,1094996460,"Feathermoon, Feralas",0,0,0,0,0,0,0,4128894,0,3837
"mmer Isle",1,3314163425,1128746844,1103657697,"Camp Mojache, Feralas",0,0,0,0,0,0,0,4128894,2224,0
"mer Isle",0,1133371064,3304740946,1128447345,"Aerie Peak, The Hinterlands",0,0,0,0,0,0,0,4128894,0,541
"er Isle",1,1164236882,3314103050,1122113946,"Valormok, Azshara",0,0,0,0,0,0,0,4128894,2224,0
"r Isle",0,3324879104,3310795735,1117662740,"Nethergarde Keep, Blasted Lands",0,0,0,0,0,0,0,4128894,0,541
" Isle",0,3296107397,3288921866,3229026877,"Southshore Ferry, Hillsbrad",0,0,0,0,0,0,0,4128894,0,0
"Isle",0,3326216980,1131114004,1066359849,"Transport, Grom'gol - Orgrimmar",0,0,0,0,0,0,0,4128894,0,0
"sle",1,1168007987,3282607145,1136112763,"Bloodvenom Post, Felwood",0,0,0,0,0,0,0,4128894,2224,0
"le",1,1172902810,3306910556,1139223101,"Moonglade",0,0,0,0,0,0,0,4128894,0,3837
"e",0,0,0,0,"Transport, Menethil Ships",0,0,0,0,0,0,0,4128894,0,0
"",0,0,0,0,"Transport, Rut'theran - Auberdine",0,0,0,0,0,0,0,4128894,0,0
"Sentinel Hill, Westfall",1,1171552748,3314824069,1143955456,"Everlook, Winterspring",0,0,0,0,0,0,0,4128894,0,3837
"entinel Hill, Westfall",1,1171581051,3314555126,1144105697,"Everlook, Winterspring",0,0,0,0,0,0,0,4128894,2224,0
"ntinel Hill, Westfall",1,3313721078,1162690560,3243098767,"Transport, Feathermoon - Feralas",0,0,0,0,0,0,0,4128894,0,0
"tinel Hill, Westfall",1,3309614653,3308364513,1107980452,"Brackenwall Village, Dustwallow Marsh",0,0,0,0,0,0,0,4128894,2224,0
"inel Hill, Westfall",0,3324208097,3310154752,1101712589,"Stonard, Swamp of Sorrows",0,0,0,0,0,0,0,4128894,2224,0
"nel Hill, Westfall",1,1174926858,1148704686,1097030697,"Fishing Village, Teldrassil",0,0,0,0,0,0,0,4128894,0,3837
"el Hill, Westfall",1,1163062108,1148796436,1084626043,"Zoram'gar Outpost, Ashenvale",0,0,0,0,0,0,0,4128894,2224,0
"l Hill, Westfall",30,1141869937,3258620314,1108766884,"Dun Baldar, Alterac Valley",0,0,0,0,0,0,0,4128894,0,541
" Hill, Westfall",30,3299274260,3282032722,1119179244,"Frostwolf Keep, Alterac Valley",0,0,0,0,0,0,0,4128894,3574,0
"Hill, Westfall",1,1158669885,3307063501,1120980173,"Splintertree Post, Ashenvale",0,0,0,0,0,0,0,4128894,2224,0
"ill, Westfall",1,1173589217,3306567557,1140107510,"Nighthaven, Moonglade",0,0,0,0,0,0,0,4128894,0,3837
"ll, Westfall",1,1173577155,3306570138,1140115374,"Nighthaven, Moonglade",0,0,0,0,0,0,0,4128894,2224,0
"l, Westfall",1,1160388567,3312618045,1120517489,"Talrendis Point, Azshara",0,0,0,0,0,0,0,4128894,0,3837
", Westfall",1,1170337546,3304305705,1141822095,"Talonbranch Glade, Felwood",0,0,0,0,0,0,0,4128894,0,3837
" Westfall",0,1147720827,3300049797,1115772682,"Chillwind Camp, Western Plaguelands",0,0,0,0,0,0,0,4128894,0,541
"Westfall",0,1158541681,3316049510,1118713938,"Light's Hope Chapel, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,0,541
"estfall",0,1158772367,3315939103,1118015324,"Light's Hope Chapel, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,3574,0
"stfall",1,1172927263,3305420308,1140206469,"Moonglade",0,0,0,0,0,0,0,4128894,2224,0
"tfall",0,3320479805,3305683108,1126533038,"Flame Crest, Burning Steppes",0,0,0,0,0,0,0,4128894,2224,0
"fall",0,3322065521,3307939226,1127839171,"Morgan's Vigil, Burning Steppes",0,0,0,0,0,0,0,4128894,0,541
"all",1,3319061279,1146171228,1111965041,"Cenarion Hold, Silithus",0,0,0,0,0,0,0,4128894,2224,0
"ll",1,3318959780,1145111020,1118949868,"Cenarion Hold, Silithus",0,0,0,0,0,0,0,4128894,0,3837
"l",0,3318531256,3297904804,1134208942,"Thorium Point, Searing Gorge",0,0,0,0,0,0,0,4128894,0,541
"",0,3318536049,3297345946,1134217462,"Thorium Point, Searing Gorge",0,0,0,0,0,0,0,4128894,2224,0
"Lakeshire, Redridge",0,3290353828,3314779136,1085024502,"Revantusk Village, The Hinterlands",0,0,0,0,0,0,0,4128894,2224,0
"akeshire, Redridge",1,3306474168,3303757169,1119859507,"Camp Taurajo, The Barrens",0,0,0,0,0,0,0,4128894,2224,0
"keshire, Redridge",0,1162073334,3310649057,1124829102,"Naxxramas",0,0,0,0,0,0,0,4128894,0,0
"eshire, Redridge",1,3317632655,3297695334,3275465032,"Marshal's Refuge, Un'Goro Crater",0,0,0,0,0,0,0,4128894,2224,541
"shire, Redridge",1,3294602691,3312177193,1094168084,"Ratchet, The Barrens",0,0,0,0,0,0,0,4128894,2224,541
"hire, Redridge",131074,0,0,0,"Filming",0,0,0,0,0,0,0,4128894,0,0
"e, Redridge",0,1161522012,3309216154,1122656584,"Plaguewood Tower, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,17660,17660
", Redridge",0,1161975030,3313887498,1121642086,"Northpass Tower, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,3574,541
" Redridge",0,1159476142,3314824909,1119551488,"Eastwall Tower, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,3574,541
"Redridge",0,1156067820,3311708037,1125104353,"Crown Guard Tower, Eastern Plaguelands",0,0,0,0,0,0,0,4128894,3574,541
